Study,Outcome,Features,N,N_pos,Prevalence,AUC_LR,AUC_RF,Best_AUC,AUC_CI_lo,AUC_CI_hi,Best_Model,Sensitivity,Specificity,PPV,NPV,F1,Sens_CI_lo,Sens_CI_hi,Spec_CI_lo,Spec_CI_hi,PPV_CI_lo,PPV_CI_hi,NPV_CI_lo,NPV_CI_hi
S2,CES-D≥16,Pers-only,719,141,0.19610570236439498,0.7468512949039264,0.7292118010543599,0.7507838849998559,0.6223419540229885,0.8820929118773946,LR,0.8487142857142855,0.6338475499092561,0.3755586823942588,0.9496954929775407,0.5121023304173645,0.5,1.0,0.3643829401088929,0.860919540229885,0.26534591194968554,0.5326923076923076,0.8770474137931035,1.0
S2,CES-D≥16,Pers+Beh,365,103,0.2821917808219178,0.8278624708624709,0.7923883708883709,0.8331210826210825,0.6980555555555555,0.9319055944055943,LR,0.8394545454545456,0.7698433048433049,0.6317604995274938,0.9318368434625549,0.6986634337307703,0.495,1.0,0.4886039886039886,1.0,0.4256868131868132,1.0,0.8285454545454546,1.0
S2,CES-D≥16,Beh-only,365,103,0.2821917808219178,0.5310685055685055,0.4951668609168609,0.5517757057757058,0.4019687257187257,0.7040064102564101,LR,0.6482727272727271,0.6074501424501425,0.4374900668572133,0.837030390578229,0.47823721333599367,0.13886363636363638,1.0,0.11196581196581198,0.9824074074074071,0.307830459770115,0.9049999999999984,0.7256269592476489,1.0
S2,STAI≥45,Pers-only,719,126,0.17524339360222532,0.7897542191800667,0.77672668586122,0.7949544944227149,0.6755902777777778,0.8957688233376793,LR,0.8547435897435898,0.7045141242937853,0.39958287301733025,0.9597337769218939,0.5363601489000853,0.6153846153846154,1.0,0.4872245762711864,0.8983050847457628,0.26389318885448915,0.5864285714285712,0.9074074074074074,1.0
S2,STAI≥45,Pers+Beh,365,92,0.25205479452054796,0.8538027630805409,0.814918577307466,0.8557395649617873,0.707201646090535,0.959619341563786,LR,0.8519999999999999,0.7979629629629628,0.6279544555032172,0.9457416879664288,0.7031742403454598,0.5555555555555556,1.0,0.5714285714285714,1.0,0.40558823529411764,1.0,0.8642528735632183,1.0
S2,STAI≥45,Beh-only,365,92,0.25205479452054796,0.5646310993533215,0.520673721340388,0.5769820693709583,0.41592078189300413,0.7489814814814815,LR,0.7016666666666665,0.5923941798941798,0.4077535998935201,0.8757516384584156,0.47474343217463266,0.2,1.0,0.15982142857142856,0.9629629629629629,0.2727272727272727,0.7104166666666659,0.7586206896551724,1.0
S3,BDI-II≥14,Pers-only,800,316,0.395,0.6483168365632543,0.6363635679826366,0.6544549144002361,0.5523274739583334,0.762744140625,LR,0.7083870967741936,0.6037712585034014,0.5634634997178173,0.7855683590733266,0.6036265898106682,0.3225806451612903,0.9846774193548384,0.2653061224489796,0.9187181122448976,0.45454545454545453,0.7562499999999999,0.6715384615384615,0.980208333333333
S3,BDI-II≥14,Pers+Beh,594,234,0.3939393939393939,0.6538677536231884,0.6542854267310788,0.6711488526570047,0.5202294685990339,0.7784722222222222,RF,0.7321920289855073,0.6322222222222222,0.5768210172168051,0.7951591225734017,0.6332336169506331,0.3729166666666667,0.9375905797101446,0.37430555555555556,0.8902777777777773,0.46511627906976744,0.7654545454545448,0.6835625000000001,0.9343684210526313
S3,BDI-II≥14,Beh-only,599,236,0.39398998330550916,0.5267914109761936,0.5540759373503938,0.5685518670844758,0.4459780092592592,0.6578559537798667,RF,0.6800362318840578,0.54243993993994,0.5129934351038199,0.7540135384725626,0.5579890560003369,0.22812500000000002,1.0,0.12430555555555556,0.9166666666666666,0.41818181818181815,0.7104166666666659,0.6261642156862746,1.0
S3,BDI-II≥20,Pers-only,800,188,0.235,0.6568999546945982,0.649105979849147,0.6668853077520169,0.5475841242450388,0.788244176013805,LR,0.717690058479532,0.6233659439450026,0.3997447065907514,0.8882468871323725,0.48899794200008173,0.3684210526315789,1.0,0.36065573770491804,0.935245901639344,0.2951525054466231,0.6598076923076915,0.8188897168405366,1.0
S3,BDI-II≥20,Pers+Beh,594,135,0.22727272727272727,0.6794713064713066,0.651209773318469,0.6860388596910336,0.5152090301003345,0.8247491638795985,LR,0.7096703296703295,0.6818550724637682,0.4365012621875718,0.8959548375636364,0.5108188460090178,0.2586538461538462,0.9285714285714286,0.3402173913043478,0.9565217391304348,0.2823160535117057,0.6963461538461537,0.8016964285714286,0.9666666666666667
S3,BDI-II≥20,Beh-only,599,136,0.2270450751252087,0.5801724847770177,0.5678659106850596,0.6041273851033333,0.45760869565217394,0.7215450310559005,LR,0.6503846153846153,0.6371831637372802,0.3874505109053273,0.8749881508280251,0.4507222529878894,0.3076923076923077,1.0,0.1822617946345976,0.9574468085106383,0.25471479500891264,0.6916666666666662,0.8080810147299509,1.0
S3,PSS≥20,Pers-only,800,392,0.49,0.6771070766885553,0.671989573561601,0.6858991694027518,0.5754856648686679,0.7734365228267667,LR,0.7213205128205131,0.6334573170731708,0.6708331653990974,0.7214405632503005,0.680450851002068,0.40379807692307695,0.9365384615384613,0.36585365853658536,0.9142835365853657,0.5619243421052631,0.8234374999999998,0.6062965722801789,0.8855434782608693
S3,PSS≥20,Pers+Beh,594,296,0.4983164983164983,0.6955681992337164,0.6776670498084292,0.7043888888888888,0.5941666666666666,0.8096925287356321,LR,0.6795977011494253,0.7181724137931035,0.7195264516618934,0.7064728770207762,0.6866099214225523,0.43333333333333335,0.9349999999999994,0.3825,0.9310344827586207,0.5827450980392157,0.8681884057971014,0.5952380952380952,0.8724184782608695
S3,PSS≥20,Beh-only,599,297,0.4958263772954925,0.5802486837226548,0.5872707576319367,0.6046992955135335,0.4838055555555556,0.7115825917686318,RF,0.6639080459770115,0.5902903225806451,0.6362038166966658,0.6734375578172651,0.6217552465981512,0.23333333333333334,0.9655172413793104,0.2621505376344086,0.9333333333333333,0.5293993068925683,0.841176470588235,0.5417832167832167,0.9130681818181817
